"names","new_names","var_types","description","measure"
"is_churned","y","integer","Abandonou o serviço contratado (churn)","1 = sim; 0 = não."
"growth_orders","x1","numeric","Desempenho do número de pedidos no período","percentual"
"growth_workeddays","x2","numeric","Desempenho do número de dias em atividade no período","percentual"
"growth_canceled_or_suspended_rate","x3","numeric","Desempenho do número de pedidos cancelados ou suspensos no período","percentual"
"growth_shipping_late_rate","x4","numeric","Desempenho do número postagens com atraso no período","percentual"
"growth_days_shipped_late_avg","x5","numeric","Desempenho da média de dias de atraso (postagens) no período","percentual"
"growth_days_delivered_late_avg","x6","numeric","Desempenho da média de dias de atraso (entregas) no período","percentual"
"growth_gmv","x7","numeric","Desempenho do faturamento no período","percentual"
"growth_skus","x8","numeric","Desempenho do número de produtos cadastrados no período","percentual"
"growth_categories","x9","numeric","Desempenho do número de categorias cadastradas no período","percentual"
"growth_avg_ticket","x10","numeric","Desempenho do ticket médio no período","percentual"
"growth_freight_ratio","x11","numeric","Desempenho da razão dos preços de frete e pedido no período","percentual"
"has_availability_days","x12","integer","Necessita de dias adicionais para postagem","1 = sim; 0 = não"
"seller_stage_Bolsão","x13","integer","Está no estágio B","1 = sim; 0 = não"
"seller_stage_Implementação","x14","integer","Esta no estágio I","1 = sim; 0 = não"
"seller_stage_Relacionamento","x15","integer","Está no estágio R","1 = sim; 0 = não"
"plan_type_lite","x16","integer","Possui o plano L","1 = sim; 0 = não"
"plan_type_mid","x17","integer","Possui o plano M","1 = sim; 0 = não"
"plan_type_small","x18","integer","Possui o plano S","1 = sim; 0 = não"
"region_Nordeste","x19","integer","Localizado na região Nordeste","1 = sim; 0 = não"
"region_Norte","x20","integer","Localizado na região Norte","1 = sim; 0 = não"
"region_Sudeste","x21","integer","Localizado na região Sudeste","1 = sim; 0 = não"
"region_Sul","x22","integer","Localizado na região Sul","1 = sim; 0 = não"
"vl_cashflow","x23","numeric","Valor do fluxo de caixa","contínua"
"avg_offer_price","x24","numeric","Preço médio dos produtos publicados","contínua"
"total_gmv","x25","numeric","Valor total do faturamento","contínua"
"qt_portfolio_cadastravel","x26","numeric","Número de produtos no portfólio","discreta"
"n_product_skus","x27","numeric","Número total de produtos cadastrados","discreta"
"n_product_brands","x28","numeric","Número total de marcas cadastradas","discreta"
"n_product_categories","x29","numeric","Número total de categorias cadastradas","discreta"
"n_published_products","x30","numeric","Número total de produtos publicados","discreta"
"total_orders","x31","numeric","Número total de pedidos efetuados","discreta"
"first_order_days","x32","numeric","Número de dias desde a contratação até a primeira venda","discreta"
"ready_days","x33","numeric","Número de dias desde a contratação até estar pronto para operar","discreta"
"firsthalf_workeddays","x34","numeric","Número de dias em atividade no período","discreta"
